timestamp,segment_id,speed_kmh,speed_limit,hour,day_of_week,is_weekend,weather_factor,is_incident
2026-04-01 00:00:00,seg_000,57.40550516491896,50,0,2,0,1.0,0
2026-04-01 00:00:00,seg_001,53.59800661902361,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_002,67.72885048877419,60,0,2,0,1.0,0
2026-04-01 00:00:00,seg_003,59.104573360960885,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_004,67.26844639955608,60,0,2,0,1.0,0
2026-04-01 00:00:00,seg_005,51.06864011985716,60,0,2,0,1.0,0
2026-04-01 00:00:00,seg_006,35.49717387413194,60,0,2,0,1.0,0
2026-04-01 00:00:00,seg_007,57.87684446234962,50,0,2,0,1.0,0
2026-04-01 00:00:00,seg_008,58.75728564461464,50,0,2,0,1.0,0
2026-04-01 00:00:00,seg_009,89.87279748118205,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_010,41.99798626479941,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_011,43.67227055066121,50,0,2,0,1.0,0
2026-04-01 00:00:00,seg_012,70.9585118379713,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_013,65.37083244605569,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_014,57.195055962881945,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_015,45.68165415649695,50,0,2,0,1.0,0
2026-04-01 00:00:00,seg_016,89.26007726284405,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_017,61.64405601334697,60,0,2,0,1.0,0
2026-04-01 00:00:00,seg_018,39.79497612325624,60,0,2,0,1.0,0
2026-04-01 00:00:00,seg_019,57.745326659757524,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_020,76.04963715910858,80,0,2,0,1.0,0
2026-04-01 00:00:00,seg_021,55.65857337560355,50,0,2,0,1.0,0
2026-04-01 00:00:00,seg_022,45.222552521192384,50,0,2,0,1.0,0
2026-04-01 00:00:00,seg_023,41.79421363629584,80,0,2,0,1.0,0
